GEOID,fips_state,fips_county,fips_subdivision,subdivision_name,total_pop,elderly_pop,pct_elderly,geometry
5002105200,50,021,05200,"Benson town, Rutland County, Vermont",974,218,22.381930184804926,"list(c(427098.962777362, 427155.594630357, 427017.418600347, 427060.289536381, 427278.315159958, 427582.130947181, 427811.705996376, 427959.158810495, 427971.479232496, 428120.089026171, 428605.530328046, 428843.917521523, 429267.998616513, 429852.572289786, 429912.685679716, 429855.503142439, 429898.523028696, 429946.130406111, 430502.053905434, 433831.284017148, 435539.266169835, 438313.966708462, 440572.047155686, 441109.506102526, 440996.034487247, 440965.700514045, 440496.658147307, 440434.387825888, 
436992.610532232, 426866.600056149, 427098.962777362, 131632.854394904, 132005.031317013, 132414.667017942, 132619.319551327, 132938.403519481, 133103.891009855, 133346.529922766, 133608.172888899, 133644.455298315, 134082.127703339, 134949.739589283, 135249.654063324, 135651.167935239, 136491.372014225, 136875.201458849, 137629.389913919, 138373.193129728, 138595.481034474, 139579.430123296, 139923.432731939, 140107.049840245, 140413.155150991, 140665.547594666, 140731.559131834, 139136.984563713, 
138976.695312364, 131355.915365655, 129922.802382324, 130150.43536958, 130888.79666671, 131632.854394904))"
5002135425,50,021,35425,"Ira town, Rutland County, Vermont",368,102,27.717391304347828,"list(c(449900.183642968, 450297.707851969, 450499.795120404, 450515.238478424, 450571.202424859, 450600.2600775, 450561.04675913, 450624.874546118, 451929.703817221, 452417.694510906, 452435.275777628, 452510.728549108, 452592.647278076, 453377.197087516, 453571.466473887, 455616.552353909, 456315.29962606, 456794.514039791, 456480.890234569, 456452.18176693, 455453.388891213, 453787.435379606, 452642.239810004, 451178.896680111, 449907.812133648, 449900.183642968, 115630.095540698, 120688.362622538, 
122911.89258567, 123461.98037807, 123946.105490319, 124887.635742956, 125174.026149697, 125993.528045415, 125978.484337648, 123623.648186006, 123473.196272223, 123138.230927863, 122746.001228711, 119002.900761278, 119000.332584095, 119053.500325566, 119073.805654326, 119087.815264038, 116951.520895796, 116860.934568969, 110588.877929881, 110666.213502075, 110719.946459734, 115502.804090763, 115569.152718534, 115630.095540698))"
5002165275,50,021,65275,"Shrewsbury town, Rutland County, Vermont",1096,287,26.186131386861316,"list(c(464931.030867191, 477790.313608967, 476628.547694353, 476458.118024996, 478137.995907509, 477777.458445768, 476176.764620606, 474638.701586082, 472455.104848196, 471636.942173673, 470027.515766259, 469449.963296955, 465384.915922245, 465327.050982843, 465000.565242989, 464974.98641919, 464931.030867191, 119490.248436335, 119944.017177115, 111137.119710294, 110574.437074185, 110216.809107654, 108859.242250107, 109326.331924541, 109289.951985373, 109167.42978735, 109121.718951513, 108956.704658255, 
108940.301040514, 108700.653247628, 109404.555083075, 117952.997486511, 118517.089341991, 119490.248436335))"
5002175925,50,021,75925,"Wallingford town, Rutland County, Vermont",2129,423,19.868482855800845,"list(c(457737.600207708, 458359.707122153, 458945.645665935, 458966.330113093, 459129.017112843, 460770.782758356, 460796.733146563, 461277.71149249, 461545.650624024, 461550.74417148, 461558.101730145, 461789.025537373, 462019.278699121, 462618.512857561, 462632.148498871, 462636.729103697, 462649.618834249, 463331.485264233, 463649.731256422, 465249.24239441, 465327.050982843, 465384.915922245, 469449.963296955, 470027.515766259, 470000.387480928, 469989.261565085, 469939.487182669, 469707.86930627, 
469618.882731123, 469588.411182543, 469523.197759024, 464646.185047457, 460294.76786058, 460022.795770199, 459626.522571596, 457735.213119965, 457737.600207708, 100051.450072461, 105121.924626131, 105444.52741165, 105744.265511057, 110398.57452514, 110317.259073375, 110731.519809366, 110698.405301984, 110679.870925352, 110679.50852764, 110679.02210396, 110665.375176705, 110647.406979866, 110598.612451748, 110111.576746334, 109945.787250542, 109484.087471626, 109466.786185211, 109466.283167664, 109407.400320498, 
109404.555083075, 108700.653247628, 108940.301040514, 108956.704658255, 108532.977302989, 108360.154674688, 107431.689299308, 102181.040020633, 101662.272985905, 101262.341936638, 99320.5141959074, 99558.5843632339, 99826.9552255301, 99825.2261782664, 99819.1391662991, 100032.466707654, 100051.450072461))"
5000921250,50,009,21250,"East Haven town, Essex County, Vermont",270,70,25.925925925925924,"list(c(546780.32697788, 548294.565344317, 548336.012929003, 548870.207758735, 548933.528472049, 549061.786593865, 552507.316483703, 560634.633098304, 555509.338153945, 555474.436548809, 554902.088235556, 552170.968303055, 549631.949224865, 548016.035203547, 547010.20518066, 546780.32697788, 238705.013909447, 240694.989077698, 240794.42469606, 241466.653130717, 241618.266223543, 241759.593367858, 246483.443476115, 240843.205091417, 233649.007755565, 233608.146945931, 232931.723983723, 234759.761405746, 
236617.960670047, 237789.937612256, 238511.653129811, 238705.013909447))"
5000976337,50,009,76337,"Warner's grant, Essex County, Vermont",0,0,NA,"list(c(546409.751870241, 548009.754326937, 547172.094986649, 545796.347113246, 546409.751870241, 271770.638929449, 271827.337788947, 265956.437331242, 266978.875982117, 271770.638929449))"
5000976562,50,009,76562,"Warren's gore, Essex County, Vermont",2,0,0,"list(c(548009.754326937, 551456.224716433, 551630.171508786, 550693.966937854, 549646.096894971, 549115.711536155, 549155.59579431, 547172.094986649, 548009.754326937, 271827.337788947, 271944.913453385, 271974.320037335, 263330.247787082, 264109.426350634, 264420.07001161, 264474.052235004, 265956.437331242, 271827.337788947))"
5001102500,50,011,02500,"Bakersfield town, Franklin County, Vermont",1273,239,18.7745483110762,"list(c(472450.055888046, 472177.872569109, 472091.916549036, 472439.176109008, 472647.619694906, 473092.984540195, 473159.203768209, 476331.274965975, 476922.106156668, 477939.223434232, 481006.718790341, 485069.295432081, 485756.134491297, 485892.371393597, 485898.720823096, 481875.607088376, 480477.218622825, 480545.615060404, 479813.23102757, 479531.241848514, 478840.300915857, 478859.551227977, 478766.05587152, 478269.2416329, 477649.558825274, 477582.137979018, 477792.389404879, 477672.417255681, 
477333.453404162, 474086.002665275, 474050.927054958, 473759.036114124, 471370.521980664, 472450.055888046, 253686.853164046, 253739.141641102, 253755.626962687, 255525.809205876, 256893.54785426, 259485.246103816, 259834.684458849, 259875.44477976, 259911.411522514, 259894.058754811, 259651.6718786, 259882.866364625, 259919.422805222, 259923.456077915, 255824.15761706, 256007.700725835, 254473.602424727, 252884.980357834, 253012.805642248, 251525.517265958, 251658.321101163, 251831.056390588, 251830.474951067, 
249254.826266712, 249377.403709315, 248937.252911277, 248929.85775733, 248339.981320919, 247541.516073805, 248251.607797077, 248215.744543374, 248273.37703556, 248764.043754428, 253686.853164046))"
5001145850,50,011,45850,"Montgomery town, Franklin County, Vermont",1184,279,23.56418918918919,"list(c(485892.371393597, 487227.211384173, 486971.533037459, 486819.012234425, 486786.169728715, 486605.271364256, 486499.959473127, 486481.561682265, 486405.325588149, 486398.406114235, 487405.192731026, 488329.772139017, 493975.685865692, 494481.364111495, 496732.999492266, 496942.146088647, 496945.216052424, 497003.592969229, 497056.324165882, 497052.941332203, 497418.456806487, 493814.103950666, 492529.709043021, 492252.711967126, 490763.992004074, 491012.516744049, 485898.720823096, 485892.371393597, 
259923.456077915, 260001.34037675, 262734.760387509, 264469.078580545, 264596.274235483, 267407.476169925, 267949.883457082, 268100.165392564, 268529.72004264, 269101.148407057, 269141.206876441, 269134.343935565, 269383.359456479, 269406.684878672, 269533.380543059, 267590.013131732, 265911.899481164, 265073.428712712, 264295.192189075, 263810.909153549, 259257.850398735, 253489.18763867, 254459.660436976, 254099.50219481, 255078.134873726, 255585.953357472, 255824.15761706, 259923.456077915))"
5002701300,50,027,01300,"Andover town, Windsor County, Vermont",568,115,20.246478873239436,"list(c(478554.479531083, 478589.933055499, 478952.370194022, 479239.458911203, 481899.204746583, 483916.023728565, 485316.422956514, 484934.2742534, 481295.406221561, 479222.680183569, 479142.314870879, 479288.732296085, 478472.131018501, 478554.479531083, 88368.6768968379, 88597.4220330101, 94875.4474133729, 94750.3542469135, 93254.802759873, 92121.8643523535, 91341.679909093, 80285.2675583197, 81479.5702171373, 82174.2670617936, 82241.5033625968, 85640.8910020763, 85867.8449949207, 88368.6768968379
))"
