necta,subdivision_name,fips_state,fips_county,fips_subdivision
Metropolitan NECTA,Mason town,33,011,46260
Metropolitan NECTA,Merrimack town,33,011,47540
Metropolitan NECTA,Milford town,33,011,48020
Metropolitan NECTA,Mont Vernon town,33,011,49140
Metropolitan NECTA,Nashua city,33,011,50260
Metropolitan NECTA,Wilton town,33,011,85220
Metropolitan NECTA,Derry town,33,015,17940
Metropolitan NECTA,Londonderry town,33,015,43220
Metropolitan NECTA,Windham town,33,015,85780
Metropolitan NECTA,Beverly city,25,009,05595
Metropolitan NECTA,Danvers town,25,009,16250
Metropolitan NECTA,Essex town,25,009,21850
Metropolitan NECTA,Gloucester city,25,009,26150
Metropolitan NECTA,Hamilton town,25,009,27900
Metropolitan NECTA,Ipswich town,25,009,32310
Metropolitan NECTA,Manchester-by-the-Sea town,25,009,37995
Metropolitan NECTA,Middleton town,25,009,41095
Metropolitan NECTA,Peabody city,25,009,52490
Metropolitan NECTA,Rockport town,25,009,57880
Metropolitan NECTA,Topsfield town,25,009,70150
Metropolitan NECTA,Wenham town,25,009,74595
Metropolitan NECTA,Carver town,25,023,11665
Metropolitan NECTA,Duxbury town,25,023,17895
Metropolitan NECTA,Halifax town,25,023,27795
Metropolitan NECTA,Kingston town,25,023,33220
Metropolitan NECTA,Pembroke town,25,023,52630
Metropolitan NECTA,Plymouth town,25,023,54310
Metropolitan NECTA,Plympton town,25,023,54415
Metropolitan NECTA,Berkley town,25,005,05280
Metropolitan NECTA,Dighton town,25,005,16950
Metropolitan NECTA,Freetown town,25,005,25240
Metropolitan NECTA,Norton town,25,005,49970
Metropolitan NECTA,Raynham town,25,005,56060
Metropolitan NECTA,Taunton city,25,005,69170
Metropolitan NECTA,Lakeville town,25,023,33920
Metropolitan NECTA,Middleborough town,25,023,40850
Metropolitan NECTA,Rochester town,25,023,57600
Metropolitan NECTA,Bridgeport city and town,09,001,08070
Metropolitan NECTA,Darien town,09,001,18850
Metropolitan NECTA,Easton town,09,001,23890
Metropolitan NECTA,Fairfield town,09,001,26620
Metropolitan NECTA,Greenwich town,09,001,33620
Metropolitan NECTA,Monroe town,09,001,48620
Metropolitan NECTA,New Canaan town,09,001,50580
Metropolitan NECTA,Norwalk city and town,09,001,56060
Metropolitan NECTA,Redding town,09,001,63480
Metropolitan NECTA,Ridgefield town,09,001,63970
Metropolitan NECTA,Shelton city and town,09,001,68170
Metropolitan NECTA,Stamford city and town,09,001,73070
Metropolitan NECTA,Stratford town,09,001,74190
Metropolitan NECTA,Trumbull town,09,001,77200
Metropolitan NECTA,Weston town,09,001,83430
Metropolitan NECTA,Westport town,09,001,83500
Metropolitan NECTA,Wilton town,09,001,86370
Metropolitan NECTA,Ansonia city and town,09,009,01220
Metropolitan NECTA,Derby city and town,09,009,19550
Metropolitan NECTA,Milford city and town,09,009,47535
Metropolitan NECTA,Oxford town,09,009,58300
Metropolitan NECTA,Seymour town,09,009,67610
Metropolitan NECTA,Southbury town,09,009,69640
Metropolitan NECTA,Woodbridge town,09,009,87700
Micropolitan NECTA,Brunswick town,23,005,08430
Micropolitan NECTA,Harpswell town,23,005,31390
Micropolitan NECTA,Dresden town,23,015,18475
Micropolitan NECTA,Arrowsic town,23,023,01570
Micropolitan NECTA,Bath city,23,023,03355
Micropolitan NECTA,Bowdoin town,23,023,06260
Micropolitan NECTA,Bowdoinham town,23,023,06365
Micropolitan NECTA,Georgetown town,23,023,27295
Micropolitan NECTA,Perkins unorganized territory,23,023,58070
Micropolitan NECTA,Phippsburg town,23,023,58515
